Species	Lake	Age	Year	Season
CP	Lamoka	1	2004	Spring
CP	Lamoka	2	2004	Spring
CP	Lamoka	2	2004	Spring
CP	Lamoka	2	2004	Spring
CP	Lamoka	2	2004	Spring
CP	Lamoka	2	2004	Spring
CP	Lamoka	2	2004	Spring
CP	Lamoka	3	2004	Spring
CP	Lamoka	3	2004	Spring
CP	Lamoka	3	2004	Spring
CP	Lamoka	4	2004	Spring
CP	Lamoka	4	2004	Spring
CP	Lamoka	2	2005	Spring
CP	Lamoka	1	2005	Spring
CP	Lamoka	1	2005	Spring
CP	Lamoka	1	2005	Spring
CP	Lamoka	4	2005	Spring
CP	Lamoka	2	2005	Spring
CP	Lamoka	3	2005	Spring
CP	Lamoka	3	2005	Spring
CP	Lamoka	2	2005	Spring
CP	Lamoka	2	2005	Spring
CP	Lamoka	3	2005	Spring
CP	Lamoka	6	2005	Spring
CP	Lamoka	3	2005	Spring
CP	Lamoka	4	2005	Spring
CP	Lamoka	5	2005	Spring
CP	Lamoka	4	2005	Spring
CP	Lamoka	3	2005	Spring
CP	Lamoka	1	2006	Spring
CP	Lamoka	1	2006	Spring
CP	Lamoka	1	2006	Spring
CP	Lamoka	1	2006	Spring
CP	Lamoka	1	2006	Spring
CP	Lamoka	2	2006	Spring
CP	Lamoka	2	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	2	2006	Spring
CP	Lamoka	2	2006	Spring
CP	Lamoka	2	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	2	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	4	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	4	2006	Spring
CP	Lamoka	3	2006	Spring
CP	Lamoka	4	2006	Spring
CP	Lamoka	5	2006	Spring
CP	Lamoka	3	2003	Fall
CP	Lamoka	4	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	5	2003	Fall
CP	Lamoka	4	2003	Fall
CP	Lamoka	1	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	2	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	4	2003	Fall
CP	Lamoka	5	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	1	2003	Fall
CP	Lamoka	4	2003	Fall
CP	Lamoka	1	2003	Fall
CP	Lamoka	2	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	3	2003	Fall
CP	Lamoka	0	2003	Fall
CP	Lamoka	0	2003	Fall
CP	Lamoka	5	2003	Fall
CP	Lamoka	1	2003	Fall
CP	Lamoka	1	2003	Fall
CP	Lamoka	0	2003	Fall
CP	Lamoka	1	2003	Fall
CP	Lamoka	2	2003	Fall
CP	Lamoka	0	2003	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	4	2004	Fall
CP	Lamoka	6	2004	Fall
CP	Lamoka	5	2004	Fall
CP	Lamoka	3	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	4	2004	Fall
CP	Lamoka	3	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	4	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	4	2004	Fall
CP	Lamoka	3	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	4	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	0	2004	Fall
