M_t,t,Initial_percent_sugars,Initial_percent_cellulose,Initial_percent_lignin,CDI
70.80,0.99,56.80,27.33,15.87,0.3706
53.45,1.99,56.80,27.33,15.87,0.3706
43.05,3.01,56.80,27.33,15.87,0.3706
35.20,4.02,56.80,27.33,15.87,0.3706
36.58,5.02,56.80,27.33,15.87,0.3706
26.19,6.01,56.80,27.33,15.87,0.3706
30.10,7.00,56.80,27.33,15.87,0.3706
20.26,8.04,56.80,27.33,15.87,0.3706
21.17,9.00,56.80,27.33,15.87,0.3706
19.98,10.03,56.80,27.33,15.87,0.3706
67.64,0.99,56.80,27.33,15.87,0.3706
65.80,1.99,56.80,27.33,15.87,0.3706
51.86,0.99,49.27,39.82,10.91,0.3706
43.24,1.99,49.27,39.82,10.91,0.3706
28.23,3.01,49.27,39.82,10.91,0.3706
25.58,4.02,49.27,39.82,10.91,0.3706
21.76,5.02,49.27,39.82,10.91,0.3706
13.69,6.01,49.27,39.82,10.91,0.3706
18.86,7.00,49.27,39.82,10.91,0.3706
12.29,8.04,49.27,39.82,10.91,0.3706
11.64,9.00,49.27,39.82,10.91,0.3706
8.25,10.03,49.27,39.82,10.91,0.3706
85.09,0.99,36.24,44.58,19.18,0.3706
73.50,1.99,36.24,44.58,19.18,0.3706
64.66,3.01,36.24,44.58,19.18,0.3706
43.19,4.02,36.24,44.58,19.18,0.3706
44.01,5.02,36.24,44.58,19.18,0.3706
57.36,6.01,36.24,44.58,19.18,0.3706
32.22,7.00,36.24,44.58,19.18,0.3706
28.26,8.04,36.24,44.58,19.18,0.3706
27.23,9.00,36.24,44.58,19.18,0.3706
21.92,10.03,36.24,44.58,19.18,0.3706
70.20,0.99,37.11,39.38,23.51,0.3706
44.00,1.99,37.11,39.38,23.51,0.3706
37.97,3.01,37.11,39.38,23.51,0.3706
30.20,4.02,37.11,39.38,23.51,0.3706
25.96,5.02,37.11,39.38,23.51,0.3706
24.26,6.01,37.11,39.38,23.51,0.3706
26.50,7.00,37.11,39.38,23.51,0.3706
24.44,8.04,37.11,39.38,23.51,0.3706
21.47,9.00,37.11,39.38,23.51,0.3706
20.28,10.03,37.11,39.38,23.51,0.3706
76.93,0.99,37.41,35.92,26.67,0.3706
68.24,1.99,37.41,35.92,26.67,0.3706
60.36,3.01,37.41,35.92,26.67,0.3706
54.14,4.02,37.41,35.92,26.67,0.3706
44.38,5.02,37.41,35.92,26.67,0.3706
39.75,6.01,37.41,35.92,26.67,0.3706
33.01,7.00,37.41,35.92,26.67,0.3706
27.69,8.04,37.41,35.92,26.67,0.3706
26.70,9.00,37.41,35.92,26.67,0.3706
25.99,10.03,37.41,35.92,26.67,0.3706
77.41,0.99,10.64,73.15,16.21,0.3706
71.63,1.99,10.64,73.15,16.21,0.3706
54.58,3.01,10.64,73.15,16.21,0.3706
52.14,4.02,10.64,73.15,16.21,0.3706
38.09,5.02,10.64,73.15,16.21,0.3706
30.25,6.01,10.64,73.15,16.21,0.3706
26.75,7.00,10.64,73.15,16.21,0.3706
20.47,8.04,10.64,73.15,16.21,0.3706
21.04,9.00,10.64,73.15,16.21,0.3706
20.59,10.03,10.64,73.15,16.21,0.3706
82.61,0.99,10.64,73.15,16.21,0.3706
74.48,1.99,10.64,73.15,16.21,0.3706
59.85,1.02,56.80,27.33,15.87,0.4832
51.35,2.08,56.80,27.33,15.87,0.4832
49.91,3.04,56.80,27.33,15.87,0.4832
42.73,4.01,56.80,27.33,15.87,0.4832
35.38,5.99,56.80,27.33,15.87,0.4832
32.42,6.99,56.80,27.33,15.87,0.4832
30.60,8.98,56.80,27.33,15.87,0.4832
57.90,1.02,49.27,39.82,10.91,0.4832
44.13,2.08,49.27,39.82,10.91,0.4832
39.11,3.04,49.27,39.82,10.91,0.4832
52.99,4.01,49.27,39.82,10.91,0.4832
28.38,5.99,49.27,39.82,10.91,0.4832
22.08,6.99,49.27,39.82,10.91,0.4832
6.99,8.01,49.27,39.82,10.91,0.4832
22.19,8.98,49.27,39.82,10.91,0.4832
13.28,10.04,49.27,39.82,10.91,0.4832
85.46,1.02,36.24,44.58,19.18,0.4832
77.58,2.08,36.24,44.58,19.18,0.4832
68.32,3.04,36.24,44.58,19.18,0.4832
68.41,4.01,36.24,44.58,19.18,0.4832
34.41,5.99,36.24,44.58,19.18,0.4832
49.69,6.99,36.24,44.58,19.18,0.4832
35.30,8.01,36.24,44.58,19.18,0.4832
33.08,8.98,36.24,44.58,19.18,0.4832
37.08,10.04,36.24,44.58,19.18,0.4832
83.07,1.02,37.11,39.38,23.51,0.4832
63.76,2.08,37.11,39.38,23.51,0.4832
69.22,3.04,37.11,39.38,23.51,0.4832
68.63,4.01,37.11,39.38,23.51,0.4832
30.09,5.99,37.11,39.38,23.51,0.4832
47.61,6.99,37.11,39.38,23.51,0.4832
48.50,8.01,37.11,39.38,23.51,0.4832
28.38,8.98,37.11,39.38,23.51,0.4832
29.05,10.04,37.11,39.38,23.51,0.4832
84.80,1.02,37.41,35.92,26.67,0.4832
76.71,2.08,37.41,35.92,26.67,0.4832
75.50,3.04,37.41,35.92,26.67,0.4832
80.81,4.01,37.41,35.92,26.67,0.4832
33.89,5.99,37.41,35.92,26.67,0.4832
50.75,6.99,37.41,35.92,26.67,0.4832
35.57,8.01,37.41,35.92,26.67,0.4832
24.42,8.98,37.41,35.92,26.67,0.4832
21.39,10.04,37.41,35.92,26.67,0.4832
68.10,1.02,10.64,73.15,16.21,0.4832
60.21,2.08,10.64,73.15,16.21,0.4832
53.16,3.04,10.64,73.15,16.21,0.4832
39.42,4.01,10.64,73.15,16.21,0.4832
37.24,5.99,10.64,73.15,16.21,0.4832
22.49,6.99,10.64,73.15,16.21,0.4832
10.10,8.01,10.64,73.15,16.21,0.4832
29.89,8.98,10.64,73.15,16.21,0.4832
3.77,10.04,10.64,73.15,16.21,0.4832
82.67,1.28,56.80,27.33,15.87,0.2435
65.52,2.02,56.80,27.33,15.87,0.2435
59.95,3.01,56.80,27.33,15.87,0.2435
32.26,4.00,56.80,27.33,15.87,0.2435
41.29,5.03,56.80,27.33,15.87,0.2435
16.60,6.00,56.80,27.33,15.87,0.2435
12.43,8.03,56.80,27.33,15.87,0.2435
18.28,9.01,56.80,27.33,15.87,0.2435
70.63,1.28,56.80,27.33,15.87,0.2435
65.09,2.02,56.80,27.33,15.87,0.2435
81.92,1.28,49.27,39.82,10.91,0.2435
71.60,2.02,49.27,39.82,10.91,0.2435
54.93,3.01,49.27,39.82,10.91,0.2435
27.17,4.00,49.27,39.82,10.91,0.2435
41.03,5.03,49.27,39.82,10.91,0.2435
11.64,6.00,49.27,39.82,10.91,0.2435
9.55,6.36,49.27,39.82,10.91,0.2435
8.93,8.03,49.27,39.82,10.91,0.2435
1.28,9.01,49.27,39.82,10.91,0.2435
94.74,1.28,36.24,44.58,19.18,0.2435
84.81,2.02,36.24,44.58,19.18,0.2435
75.57,3.01,36.24,44.58,19.18,0.2435
44.26,4.00,36.24,44.58,19.18,0.2435
64.71,5.03,36.24,44.58,19.18,0.2435
20.98,6.00,36.24,44.58,19.18,0.2435
20.68,6.36,36.24,44.58,19.18,0.2435
15.27,8.03,36.24,44.58,19.18,0.2435
23.85,9.01,36.24,44.58,19.18,0.2435
15.29,10.03,36.24,44.58,19.18,0.2435
77.19,1.28,37.11,39.38,23.51,0.2435
64.54,2.02,37.11,39.38,23.51,0.2435
74.59,3.01,37.11,39.38,23.51,0.2435
41.44,4.00,37.11,39.38,23.51,0.2435
49.37,5.03,37.11,39.38,23.51,0.2435
24.63,6.00,37.11,39.38,23.51,0.2435
32.30,6.36,37.11,39.38,23.51,0.2435
13.25,8.03,37.11,39.38,23.51,0.2435
8.86,9.01,37.11,39.38,23.51,0.2435
95.63,1.28,37.41,35.92,26.67,0.2435
85.17,2.02,37.41,35.92,26.67,0.2435
81.63,3.01,37.41,35.92,26.67,0.2435
57.49,4.00,37.41,35.92,26.67,0.2435
69.10,5.03,37.41,35.92,26.67,0.2435
41.61,6.00,37.41,35.92,26.67,0.2435
51.26,6.36,37.41,35.92,26.67,0.2435
22.32,8.03,37.41,35.92,26.67,0.2435
41.12,9.01,37.41,35.92,26.67,0.2435
88.60,1.28,10.64,73.15,16.21,0.2435
82.63,2.02,10.64,73.15,16.21,0.2435
68.52,3.01,10.64,73.15,16.21,0.2435
34.97,4.00,10.64,73.15,16.21,0.2435
35.30,5.03,10.64,73.15,16.21,0.2435
11.08,6.00,10.64,73.15,16.21,0.2435
5.00,6.36,10.64,73.15,16.21,0.2435
80.42,1.28,10.64,73.15,16.21,0.2435
73.04,2.02,10.64,73.15,16.21,0.2435
36.98,1.00,56.80,27.33,15.87,0.701
35.03,2.02,56.80,27.33,15.87,0.701
31.89,3.02,56.80,27.33,15.87,0.701
24.09,4.01,56.80,27.33,15.87,0.701
25.88,5.03,56.80,27.33,15.87,0.701
10.99,6.03,56.80,27.33,15.87,0.701
14.66,7.07,56.80,27.33,15.87,0.701
15.77,8.04,56.80,27.33,15.87,0.701
7.67,9.03,56.80,27.33,15.87,0.701
59.24,1.00,21.95,59.37,18.68,0.701
32.87,4.01,21.95,59.37,18.68,0.701
25.72,5.03,21.95,59.37,18.68,0.701
16.79,6.03,21.95,59.37,18.68,0.701
33.79,1.00,49.27,39.82,10.91,0.701
29.66,2.02,49.27,39.82,10.91,0.701
22.93,3.02,49.27,39.82,10.91,0.701
17.64,4.01,49.27,39.82,10.91,0.701
9.54,5.03,49.27,39.82,10.91,0.701
12.73,6.03,49.27,39.82,10.91,0.701
5.56,7.07,49.27,39.82,10.91,0.701
6.02,8.04,49.27,39.82,10.91,0.701
5.05,9.03,49.27,39.82,10.91,0.701
76.75,1.00,36.24,44.58,19.18,0.701
60.38,2.02,36.24,44.58,19.18,0.701
44.56,3.02,36.24,44.58,19.18,0.701
32.33,4.01,36.24,44.58,19.18,0.701
18.34,5.03,36.24,44.58,19.18,0.701
25.05,6.03,36.24,44.58,19.18,0.701
19.19,7.07,36.24,44.58,19.18,0.701
22.36,8.04,36.24,44.58,19.18,0.701
13.43,9.03,36.24,44.58,19.18,0.701
16.50,10.22,36.24,44.58,19.18,0.701
56.81,1.00,37.11,39.38,23.51,0.701
40.53,2.02,37.11,39.38,23.51,0.701
40.56,3.02,37.11,39.38,23.51,0.701
26.67,4.01,37.11,39.38,23.51,0.701
15.24,5.03,37.11,39.38,23.51,0.701
11.46,6.03,37.11,39.38,23.51,0.701
5.10,7.07,37.11,39.38,23.51,0.701
12.32,8.04,37.11,39.38,23.51,0.701
10.87,9.03,37.11,39.38,23.51,0.701
4.86,10.22,37.11,39.38,23.51,0.701
73.44,1.00,37.41,35.92,26.67,0.701
62.69,2.02,37.41,35.92,26.67,0.701
46.52,3.02,37.41,35.92,26.67,0.701
40.05,4.01,37.41,35.92,26.67,0.701
24.92,5.03,37.41,35.92,26.67,0.701
22.31,6.03,37.41,35.92,26.67,0.701
21.62,7.07,37.41,35.92,26.67,0.701
24.71,8.04,37.41,35.92,26.67,0.701
14.54,9.03,37.41,35.92,26.67,0.701
20.42,10.22,37.41,35.92,26.67,0.701
61.57,1.00,10.64,73.15,16.21,0.701
46.30,2.02,10.64,73.15,16.21,0.701
36.95,3.02,10.64,73.15,16.21,0.701
22.19,4.01,10.64,73.15,16.21,0.701
22.30,5.03,10.64,73.15,16.21,0.701
17.12,6.03,10.64,73.15,16.21,0.701
7.79,7.07,10.64,73.15,16.21,0.701
7.70,8.04,10.64,73.15,16.21,0.701
11.99,9.03,10.64,73.15,16.21,0.701
11.59,10.22,10.64,73.15,16.21,0.701
59.39,1.02,56.80,27.33,15.87,0.4628
41.15,2.05,56.80,27.33,15.87,0.4628
26.72,3.03,56.80,27.33,15.87,0.4628
32.51,3.99,56.80,27.33,15.87,0.4628
25.10,5.00,56.80,27.33,15.87,0.4628
23.14,6.00,56.80,27.33,15.87,0.4628
37.17,1.02,49.27,39.82,10.91,0.4628
30.06,2.05,49.27,39.82,10.91,0.4628
17.76,3.03,49.27,39.82,10.91,0.4628
20.52,3.99,49.27,39.82,10.91,0.4628
12.58,5.00,49.27,39.82,10.91,0.4628
12.23,6.00,49.27,39.82,10.91,0.4628
78.81,1.02,36.24,44.58,19.18,0.4628
65.86,2.05,36.24,44.58,19.18,0.4628
44.95,3.03,36.24,44.58,19.18,0.4628
26.15,3.99,36.24,44.58,19.18,0.4628
28.91,5.00,36.24,44.58,19.18,0.4628
13.04,6.00,36.24,44.58,19.18,0.4628
65.14,1.02,37.11,39.38,23.51,0.4628
45.19,2.05,37.11,39.38,23.51,0.4628
18.88,3.03,37.11,39.38,23.51,0.4628
15.49,3.99,37.11,39.38,23.51,0.4628
15.43,5.00,37.11,39.38,23.51,0.4628
19.19,6.00,37.11,39.38,23.51,0.4628
68.31,1.02,37.41,35.92,26.67,0.4628
60.79,2.05,37.41,35.92,26.67,0.4628
42.53,3.03,37.41,35.92,26.67,0.4628
29.85,3.99,37.41,35.92,26.67,0.4628
22.87,5.00,37.41,35.92,26.67,0.4628
23.48,6.00,37.41,35.92,26.67,0.4628
61.63,1.02,10.64,73.15,16.21,0.4628
44.88,2.05,10.64,73.15,16.21,0.4628
36.02,3.03,10.64,73.15,16.21,0.4628
19.06,3.99,10.64,73.15,16.21,0.4628
18.87,5.00,10.64,73.15,16.21,0.4628
8.78,6.00,10.64,73.15,16.21,0.4628
47.40,1.01,56.80,27.33,15.87,0.4197
25.68,1.98,56.80,27.33,15.87,0.4197
26.75,2.97,56.80,27.33,15.87,0.4197
24.89,3.98,56.80,27.33,15.87,0.4197
16.23,4.97,56.80,27.33,15.87,0.4197
15.77,6.02,56.80,27.33,15.87,0.4197
22.49,7.00,56.80,27.33,15.87,0.4197
23.64,8.98,56.80,27.33,15.87,0.4197
18.42,10.04,56.80,27.33,15.87,0.4197
43.43,1.01,49.27,39.82,10.91,0.4197
24.50,1.98,49.27,39.82,10.91,0.4197
19.17,2.97,49.27,39.82,10.91,0.4197
20.05,3.98,49.27,39.82,10.91,0.4197
11.42,4.97,49.27,39.82,10.91,0.4197
11.80,6.02,49.27,39.82,10.91,0.4197
14.45,7.01,49.27,39.82,10.91,0.4197
11.50,8.98,49.27,39.82,10.91,0.4197
11.14,10.03,49.27,39.82,10.91,0.4197
78.82,1.01,36.24,44.58,19.18,0.4197
64.50,1.98,36.24,44.58,19.18,0.4197
47.28,2.97,36.24,44.58,19.18,0.4197
32.72,3.98,36.24,44.58,19.18,0.4197
27.87,4.97,36.24,44.58,19.18,0.4197
28.73,6.02,36.24,44.58,19.18,0.4197
29.53,7.00,36.24,44.58,19.18,0.4197
24.01,8.98,36.24,44.58,19.18,0.4197
35.86,10.03,36.24,44.58,19.18,0.4197
58.72,1.01,37.11,39.38,23.51,0.4197
34.68,1.98,37.11,39.38,23.51,0.4197
18.28,2.98,37.11,39.38,23.51,0.4197
18.34,3.98,37.11,39.38,23.51,0.4197
13.56,4.97,37.11,39.38,23.51,0.4197
10.64,6.02,37.11,39.38,23.51,0.4197
14.89,7.00,37.11,39.38,23.51,0.4197
14.96,8.98,37.11,39.38,23.51,0.4197
22.22,10.04,37.11,39.38,23.51,0.4197
76.36,1.01,37.41,35.92,26.67,0.4197
52.21,1.98,37.41,35.92,26.67,0.4197
48.05,2.97,37.41,35.92,26.67,0.4197
38.83,3.98,37.41,35.92,26.67,0.4197
26.77,4.97,37.41,35.92,26.67,0.4197
24.81,6.02,37.41,35.92,26.67,0.4197
27.74,7.00,37.41,35.92,26.67,0.4197
28.93,8.98,37.41,35.92,26.67,0.4197
18.57,10.03,37.41,35.92,26.67,0.4197
65.21,1.01,10.64,73.15,16.21,0.4197
53.91,1.98,10.64,73.15,16.21,0.4197
27.93,2.97,10.64,73.15,16.21,0.4197
27.37,3.98,10.64,73.15,16.21,0.4197
23.26,4.97,10.64,73.15,16.21,0.4197
15.60,6.02,10.64,73.15,16.21,0.4197
15.35,7.00,10.64,73.15,16.21,0.4197
17.90,8.98,10.64,73.15,16.21,0.4197
18.35,10.03,10.64,73.15,16.21,0.4197
80.52,1.04,56.80,27.33,15.87,0.5497
64.34,2.04,56.80,27.33,15.87,0.5497
53.85,3.07,56.80,27.33,15.87,0.5497
46.88,4.06,56.80,27.33,15.87,0.5497
43.61,5.08,56.80,27.33,15.87,0.5497
32.75,6.15,56.80,27.33,15.87,0.5497
33.25,7.10,56.80,27.33,15.87,0.5497
35.01,8.11,56.80,27.33,15.87,0.5497
31.57,9.13,56.80,27.33,15.87,0.5497
79.46,1.03,49.27,39.82,10.91,0.5497
67.70,2.06,49.27,39.82,10.91,0.5497
16.86,3.06,49.27,39.82,10.91,0.5497
3.18,5.07,49.27,39.82,10.91,0.5497
15.10,6.15,49.27,39.82,10.91,0.5497
4.22,7.09,49.27,39.82,10.91,0.5497
4.07,8.11,49.27,39.82,10.91,0.5497
65.91,5.08,37.24,41.34,21.42,0.5497
66.79,8.11,37.24,41.34,21.42,0.5497
90.45,1.04,36.24,44.58,19.18,0.5497
82.38,2.04,36.24,44.58,19.18,0.5497
