"feed_concentration"	"pretreated"	"fuel_produced"
5	0	2
20	0	12.2794148557046
35	0	21.2328115532106
50	0	14.5568834441456
65	0	23.1370411208613
80	0	14.9574216923105
95	0	28.6820632350951
110	0	30.5928058476516
5	0	2
20	0	14.1758489283194
35	0	13.1572516318432
50	0	16.5991907376648
65	0	19.3912299943718
80	0	21.0744553513477
95	0	23.3709802670519
110	0	22.6761433164825
5	0	2
20	0	10.7937521413747
35	0	14.309848244757
50	0	18.0191887200185
65	0	14.8745037166084
80	0	25.910952732795
95	0	22.5719571741182
110	0	26.7177956035383
5	1	2
20	1	12.6190289815481
35	1	26.6582369007096
50	1	25.289065815962
65	1	27.1090575275477
80	1	27.9095213703504
95	1	36.9115198072245
110	1	47.1432801562653
5	1	2
20	1	15.6284564323554
35	1	19.29225718432
50	1	17.7985265888777
65	1	33.2306960462477
80	1	36.7166297500676
95	1	33.5744391552113
110	1	20.1171509181786
5	1	2
20	1	10.4021364270963
35	1	20.2357812378001
50	1	30.0841278422511
65	1	31.1054017265095
80	1	37.1761846349074
95	1	59.5032192605266
110	1	34.715213873077
