Species,Nearshore_Offshore,Benthic_Pelagic,Depth_m,Length_mm,H2Opercent,THg_ppb,Cd_ppm,Cr_ppm,Cu_ppm,Mg_ppm,Mn_ppm,Pb_ppm,Zn_ppm
Deepwater Sculpin,Offshore,Benthic,110,115,0.8090719,98.5,1.088007024,100.4593033,45.19387106,59268.33864,79.82092577,12.32921477,742.5163022
Alewife,Offshore,Pelagic,10,135,0.784985,84.13,1.206695183,35.71824219,147.575677,102673.1064,137.9049029,-2.064225108,1939.234784
Alewife,Offshore,Pelagic,46,172,0.784985,167.54,1.249494475,25.1151305,131.5343781,101346.4923,100.8906885,12.66999034,3149.993316
Rainbow Smelt,Offshore,Pelagic,18,108,0.808295308,37.29,1.362280003,98.09489369,26.61990643,66194.67045,31.8360313,1.92423589,2079.23751
Alewife,Offshore,Pelagic,46,152,0.755875856,51.62,1.591101924,19.82141487,128.1815122,85371.47724,58.74350868,7.588090614,1119.988313
Bloater,Nearshore,Benthic/Pelagic,110,211,0.773118646,134.85,1.624461536,51.89797651,92.13891093,102759.7459,55.68003086,1.820414097,959.7284623
Bloater,Nearshore,Benthic/Pelagic,91,182,0.766551389,90.64,1.670614736,106.5707054,61.85316746,52385.33771,31.39318825,-4.483029447,1668.684852
Alewife,Offshore,Pelagic,10,170,0.824874702,112.77,1.719351749,29.03339803,164.9877883,99869.36203,109.4614517,-8.851115902,6909.786639
Alewife,Offshore,Pelagic,46,139,0.764465705,66.49,1.766498641,101.554179,101.724823,49161.87293,86.21572408,0.527606837,570.2193359
Alewife,Offshore,Pelagic,46,167,0.784985,164.41,1.850345206,35.10696586,144.7919903,106075.8638,126.8401704,-2.956912684,2774.227201
Alewife,Offshore,Pelagic,46,152,0.764877726,38.3,1.85079633,24.18914009,144.0966283,89834.6826,78.03938818,2.663434109,1695.162665
Alewife,Offshore,Pelagic,46,155,0.748736794,34.87,1.854772774,30.14595437,130.3923752,92380.5191,56.84718975,-3.662817398,1233.11954
Alewife,Offshore,Pelagic,10,136,0.784985,69.43,1.86539572,29.1552065,134.9228951,110559.983,222.0912432,0.414581143,1398.534807
Alewife,Offshore,Pelagic,10,145,0.784985,40.58,1.873986562,29.05018234,156.9143558,113688.6147,139.8130812,-6.265605762,1420.063469
Alewife,Offshore,Pelagic,46,151,0.759991549,60.81,1.877803836,48.87307804,101.2392727,82144.09521,56.7815129,5.313414547,1222.85758
