"wholegrains"	"vegetables"	"fruits"	"sugar"	"dairy"	"meat"
"Subject_1"	0.0396547887414706	0.082710073439177	0.0179156188466129	0.280125427623059	0.335734843136992	0.243859248212689
"Subject_2"	0.202159291465212	0.246397980246156	0.108091469957788	0.234321525370399	0.00107654292118696	0.207953190039258
"Subject_3"	0.413851477732305	0.220229385749609	0.355470670825516	0.0011028879066682	0.00824268987923305	0.0011028879066682
"Subject_4"	0.210805505263085	0.167230935842084	0.0456300606205393	0.0976361940220502	0.202220155547572	0.27647714870467
"Subject_5"	0.305849039720815	0.291857160345171	0.277966865667545	0.0796128238728455	0.0356231029654205	0.00909100742820276
"Subject_6"	0.38233785185702	0.281243799961723	0.207758842367299	0.0779823949325115	0.0498500654740868	0.000827045407360082
"Subject_7"	0.190710901819192	0.200707446997856	0.0838574000631933	0.056849566027682	0.132295310442381	0.335579374649696
"Subject_8"	0.279624390319452	0.257702453359043	0.124575836164121	0.0866553622771563	0.00400565609437822	0.24743630178585
"Subject_9"	0.246932480354253	0.0657885653152872	0.167149971794472	0.0383448528134935	0.116328091631967	0.365456038090527
"Subject_10"	0.158135412575152	0.173703798268493	0.225718242469772	0.0736283813752854	0.0868613923716383	0.28195277293966
"Subject_11"	0.10258671680716	0.00112462101133133	0.19073537810435	0.070133660442781	0.169931720225507	0.46548790340887
"Subject_12"	0.221723398477779	0.157167161661008	0.125400892274545	0.17173580099352	0.12215385970769	0.201818886885458
"Subject_13"	0.411508576700384	0.258108136008498	0.256410881654749	0.0269342566038892	0.0461842105171931	0.000853938515286232
"Subject_14"	0.255871348305422	0.26306483361455	0.110546273167967	0.111618893111314	0.00101850672964559	0.257880145071102
"Subject_15"	0.211733341068006	0.0487650434317304	0.153129028078028	0.13959028634574	0.193426357885393	0.253355943191104
"Subject_16"	0.125472414205763	0.169751086913206	0.147764436590988	0.11131128686403	0.151211549231657	0.294489226194357
"Subject_17"	0.188908838470991	0.161057157769763	0.163368212725495	0.0969665623357413	0.140797294815146	0.248901933882864
"Subject_18"	0.440058210092591	0.269479635746613	0.198730427767474	0.0251984117043452	0.0390802730851612	0.0274530416038158
"Subject_19"	0.195399414671938	0.100722213032056	0.179994753939516	0.096396714249014	0.180570261765612	0.246916642341865
"Subject_20"	0.000973223275141028	0.0431612012684059	0.0161626885149229	0.322596518375967	0.322070253837579	0.295036114727984
"Subject_21"	0.454588740241149	0.257152813973894	0.283740737587178	0.00111287209291099	0.00111287209291099	0.00229196401195709
"Subject_22"	0.199575062936492	0.177563139428971	0.155556956642965	0.116374092903502	0.119827547324683	0.231103200763387
