"species1"	"species2"	"species3"	"species4"	"species5"	"species6"	"species7"	"species8"	"species9"	"species10"	"species11"	"species12"	"species13"	"species14"	"species15"	"species16"	"species17"	"species18"	"species19"	"species20"	"species21"	"species22"	"species23"	"species24"	"species25"	"species26"	"species27"	"species28"	"species29"	"species30"	"species31"	"species32"	"species33"	"species34"	"species35"	"species36"	"species37"	"species38"	"species39"	"species40"	"species41"	"species42"	"species43"	"species44"	"species45"	"species46"	"species47"	"species48"	"species49"	"species50"
"region1_site1"	7089.67482086708	7056.06316293235	1102.27265377852	5562.36739424935	6952.09084099123	870.82940469298	1779.14291688438	5533.25826951826	3476.30638502141	4683.13767671756	5765.99925461397	424.519010280084	3554.26758908481	4233.18517808176	4313.59736165655	4255.49327242645	1127.04781305852	2297.95411909882	2923.96846436851	7732.68023660711	4529.24822293037	5501.01669004979	5835.6299114513	3855.14369469042	202.732683656613	7090.3962685525	1820.51990046946	6539.28785651884	2377.36284693702	4604.95970170022	4422.11806955856	3187.38087228422	2593.88634277144	6605.38959225763	4489.0433553018	661.167089239354	5574.73693758651	5342.94705359522	5743.14646133156	1360.63570759347	559.55564520946	5465.03152028045	3756.11455834891	2790.13814652258	7720.25181784796	6830.70275889076	2872.44998676386	409.331682123192	4923.96670847802	2146.61235149758
"region1_site1"	7610.19366311075	7337.72328544185	1120.33703423876	5428.01081327643	6274.52286288424	905.671008734605	2518.2135701544	4930.03660115359	3598.66051067651	3915.21064719882	5320.30179414554	10.7548212247771	3609.72388641889	4838.56523212138	3526.99113536576	4053.39529178006	479.169025820921	2471.07883185707	2954.22466744713	7199.27666881357	4670.08747904167	5051.80616128375	5826.16459026434	3984.70507966941	852.983836314026	7328.24483567056	1976.7497061006	6001.82480751546	1604.06599313707	4066.22213279961	5272.09292170187	3048.78708458645	2264.32940706094	6407.15252585099	5308.69669212766	878.836907749928	5694.3546430404	5501.31943270492	5749.09445553771	1429.8445488129	264.357130858142	5176.25409157703	3945.19570071185	3647.0147299157	6997.76741007863	6289.26969866417	3599.33606200908	142.767563597743	4849.92747610338	1555.79035822009
"region1_site1"	7713.14500734061	6714.65033743223	1425.8414293268	5367.42296663866	6545.46876675752	360.402341110834	2243.36477191039	4864.97484183672	2939.22083153931	3912.86776568661	5800.40439621535	176.988815416491	2901.42801374654	4773.48954712768	3542.13786324084	3997.9360134183	760.274676619032	2075.39739291712	2629.0985833252	7707.15202296465	4907.98034587317	5080.658460965	5494.78051113188	3366.36094560625	527.419331539293	6769.15749870723	1268.56265020552	5933.53582665034	1816.13354550106	4146.18060708642	5232.02723335998	2647.78387814987	2843.69687548079	6160.44561760323	4937.59567300258	1042.14159560425	5761.85089787149	5618.62490274423	6071.03022470937	722.848022773687	0	5735.47224303063	4161.2877028761	3469.59091757819	7286.79378540181	6565.8934159265	3610.55968716459	761.392974672977	4999.97053778429	1652.21075242689
"region1_site1"	7923.32485695632	7207.14116508382	1362.23585855648	5472.93629283587	6248.50232881238	741.398477055381	2529.0010872174	4744.99245760457	3438.76369685054	3584.14580361566	5220.02307071573	0	3306.78515927857	4955.05243744606	3293.40351940344	3957.07585222486	416.664969435576	2239.21152128249	2902.37114009238	7082.75663842474	4609.63793136526	5053.78573500332	5675.21537450421	3751.09412149831	795.547019491772	7265.01619996084	1788.75731470209	5940.21286842696	1465.70964804707	3911.08470355137	5569.38231111065	2808.33531204375	2337.03698493579	6318.51192145135	5382.88607665613	1054.92829467715	5791.01912797432	5598.20115113427	5933.56560699856	1130.24846130686	71.2162714524555	5456.61208688951	4193.91020228208	3831.44257483439	6750.98925619837	6342.59246547284	3792.71177498617	332.422715032431	4847.21381328979	1482.98505173235
"region1_site2"	7533.90833119145	7539.63824496728	1200.08368045522	5975.7556957004	6619.54289138257	1334.64292020365	1987.59718259387	5350.51254148949	3891.73030291511	4073.37107576121	5047.17710434084	379.340007342356	3987.5670211556	4457.52041480993	3818.47033236781	4177.51858452656	594.551450062837	2178.55542297046	3181.93631247187	6727.3702467483	3935.20138049616	5554.86286151878	5910.14735175438	4074.27040449662	698.855303693487	7572.2075198542	2116.93805418822	6285.48911958721	1974.59769829538	4337.18982742588	5041.83341015925	3327.09042164556	2209.73439324984	6651.42747340847	4875.99357963006	564.573090520858	5660.01609357714	5614.90472023283	5598.23991085127	1344.33823972736	569.05332275675	5172.12105129672	3866.66972050947	3336.20588034006	6688.79992158087	6756.18584253593	3390.03749822981	0	4780.909786787	1839.71456032606
"region1_site2"	7498.81496696191	6594.18644031885	1982.80231647399	5170.41778952221	6181.32086443687	0	2448.4736699523	4492.11654249309	2296.72069475414	3888.96484694324	6010.8629667313	806.795354578853	2202.94525595062	5362.54390381715	3523.93455227329	4277.02013181637	447.11720889487	1728.70183165622	2361.08274800184	7679.03897421437	5515.11275497408	5386.18010674347	5188.21696948129	2895.49819556622	140.557422703237	7035.06760457952	973.186886309563	5971.1544032296	1157.39428136714	4265.70674870397	4816.79984956158	1966.25395786151	2764.67391452202	6032.97115371417	5237.14677197419	1522.08618765743	6337.49783677489	5325.8186217604	6693.72758081125	311.908565882794	259.532634758733	6172.91303108792	4487.35373350316	3121.44361751199	7259.43952110943	6276.1323913707	3469.49669889697	1135.79969510252	5716.48914599599	1377.09404357795
"region1_site2"	6782.92974657266	7164.30575905877	1706.73273446607	6188.36905618386	7147.70266842654	1179.12001078501	1257.94631020725	5558.30501430574	3100.07836372743	4663.11624952288	5800.50809595943	1210.28469370191	3499.12138144226	4164.47473372544	4338.51489326624	4712.33873394292	779.156993250947	1543.19894094453	2643.74634284722	6974.67401866905	4062.75798035232	5968.78406797222	5584.84635673788	3139.31256274201	425.504855487198	7073.00777810312	1189.41054911705	6065.1515573982	2358.99415441898	4957.39728776879	4046.22181417422	2852.52211589767	3041.83867732291	6133.33062085345	4388.50735011448	327.877293788786	6074.99109923667	5653.83236117481	5705.90362150241	401.920719791337	770.37937278028	5321.49454148354	3704.54236785852	2605.59001017248	6912.0877019196	7453.29278177837	3027.96284787837	250.914054299817	5495.80930715337	2105.06200039334
"region1_site2"	6754.52111008138	6916.69115518393	1019.85147405469	5433.06029448382	7095.14976796405	818.332581415967	1695.19301529717	5575.6675194091	3271.5878990002	4952.85412571853	6158.71394266661	380.622270513156	3553.36616879489	4074.99308728349	4438.42398177689	4376.12877945213	1218.1721071026	2388.58050773534	2666.3896239222	8078.0457295189	4765.04923804487	5307.72411287623	5833.97986852215	3650.10912519412	398.789125478648	6711.14143851385	1530.20743847539	6225.11394226929	2557.78111211457	4753.11831573391	4148.83381647459	3168.03822834694	2966.41241920805	6288.28465252521	4426.42330892744	471.217025908648	5554.21614198291	5374.9140415754	5550.51048865445	1237.89841752425	471.110425706701	5214.29647077589	3507.16231893844	2736.70062608197	7989.40835584222	6966.18864898105	2845.17895320917	412.265966766082	5057.94402188988	2192.08015700289
"region2_site3"	7824.35957373993	5734.47031773171	2101.47827359246	4818.32665964932	7226.79026673348	0	1756.81557644546	5015.80110620267	2406.60967802894	3754.26552488014	5686.74406534216	0	2823.19877824646	3836.76078017171	3659.60982848818	3580.49090762863	1566.29995258753	2144.01311270699	1887.00690642604	9002.82147724532	4757.93925368564	5291.19713267316	5837.20837047676	2695.38460562983	212.44372488876	6306.94386897268	1159.75971729089	5577.99393976677	1597.1304710988	4542.60095273937	4651.21615087202	2697.76431149076	3295.12353403509	5674.95877948439	4492.47126625461	1199.16482682049	5347.55746024314	5215.93974613065	5844.55041026865	188.860949847702	177.185339374066	6472.07567605826	4366.14566829478	3555.3004497508	7586.9843562865	7441.41014588704	3092.81145425236	1495.98941359377	5250.80161334436	1944.58978323483
"region2_site3"	7747.86810732251	5877.45600945001	2418.81196472061	4833.97852368121	7499.50852682677	239.546928542402	1473.63272369225	5197.1834394217	2589.11333043488	3492.7190429483	4945.3500768574	0	3507.8435950487	3401.45084825794	3732.26847679835	3441.99687635133	1486.80553643951	2151.06493390534	1724.4418168696	8635.95101511627	3953.71260468139	5686.29815268573	6111.40085213024	2572.9719526736	421.402056950259	6794.00687419887	1608.08885628321	5462.69127098649	1357.66312332595	4658.31866595659	4270.87756166123	3067.26563561212	3084.05697928575	5638.98803185939	4604.17382487002	944.082138003329	5350.89698071944	5044.70697138573	5393.91374223242	13.6863036270629	682.928643410864	6343.69759562755	4320.27219580911	3693.93158977999	7067.75211571107	7888.96419156817	2723.60333429249	1317.62622866169	5392.611091016	1899.01776424492
