"descriptor1"	"descriptor2"	"descriptor3"	"descriptor4"	"descriptor5"	"descriptor6"	"descriptor7"	"descriptor8"	"descriptor9"	"descriptor10"	"descriptor11"	"descriptor12"	"descriptor13"	"descriptor14"	"descriptor15"	"descriptor16"	"descriptor17"	"descriptor18"	"descriptor19"	"descriptor20"	"descriptor21"	"descriptor22"	"descriptor23"	"descriptor24"	"descriptor25"	"descriptor26"	"descriptor27"	"descriptor28"	"descriptor29"	"descriptor30"	"descriptor31"	"descriptor32"	"descriptor33"	"descriptor34"	"descriptor35"	"descriptor36"	"descriptor37"	"descriptor38"	"descriptor39"	"descriptor40"	"descriptor41"	"descriptor42"	"descriptor43"	"descriptor44"	"descriptor45"	"descriptor46"	"descriptor47"	"descriptor48"	"descriptor49"	"descriptor50"
"object1"	0	0	75.0127293169498	2.19903788529336	34.5835708081722	0	44.3824584595859	48.0531685519964	55.8521815109998	24.8436987167224	51.5226197429001	0	61.8367804447189	22.8580629685894	0	0	65.6156760174781	76.6340857138857	42.37581838388	96.091485908255	61.5068732528016	22.6447445573285	63.8126028934494	92.7181477658451	85.7421954162419	61.8916460312903	3.88774734456092	82.1220144163817	19.1125762183219	32.724187662825	8.77558742649853	45.8894558250904	76.7580629792064	0	65.6092684483156	62.7697490155697	59.8712547449395	0	51.3106873491779	54.9638394732028	9.54186373855919	22.2669725539163	0	54.9376496113837	22.5378620903939	72.4139816826209	15.4805617872626	55.6309964274988	0	98.5818978399038
"object2"	64.5998127758503	0.440171221271157	19.1062049241737	94.5471656275913	99.959023646079	0	88.9289397280663	92.0522494940087	24.8212527949363	65.7165533164516	59.9357754457742	0	82.928209961392	13.4068378712982	63.8338028686121	0	68.6628947034478	0	0	0	44.8592632310465	24.1476644994691	69.47703496553	0	0	23.9209216320887	0	45.0536633143201	0	37.6045000506565	83.1617708317935	22.6034606341273	81.7504211328924	92.4378321040422	0	0	16.2066781427711	31.820971891284	0	89.3129314063117	5.8913258370012	0	9.66807065997273	0	72.5208807503805	26.0379950748757	33.1644627032802	23.1216655112803	78.3339370740578	93.0788424564525
"object3"	0	68.3916712878272	41.6566061321646	0	51.6131441341713	13.328020577319	99.9048922676593	7.96653747092932	0	59.1977791162208	65.8650249708444	2.17101939488202	12.7216324675828	0	30.2667072508484	0	23.5680610174313	89.4158560782671	83.6475835647434	0	71.5299425413832	83.0124557949603	0	0	33.1225287169218	29.479883890599	90.7494854414836	6.38954683672637	0	95.4431633232161	74.0557768382132	0	33.1777363084257	79.9874936230481	12.3331906972453	0	0	80.551447533071	80.0412889802828	0	0	56.6103215329349	14.4349523819983	0	52.1942009450868	0	48.4501728322357	39.4466191995889	0	53.9773758267984
"object4"	38.7498378753662	54.8545045545325	52.7005218202248	68.1469299830496	75.8021160494536	21.010480937548	0	0	59.5745160477236	0	74.5051045669243	48.2776554999873	64.7244045976549	42.9328366182745	57.4865784496069	10.1107781985775	0	17.7455965895206	14.3640909576789	8.24209477286786	16.4704211987555	10.4840160580352	0	29.4450543355197	73.1934833573177	80.6170968338847	34.5049011753872	99.6403330704197	0	31.269164592959	0	43.2848753407598	79.9395816167817	4.50113792903721	17.0693101594225	88.6207049712539	56.5618969500065	59.0990680502728	92.7157516591251	0	53.9936517598107	0	81.5730176866055	13.0683490075171	10.2053989423439	25.8646274916828	0	0	56.730483379215	11.4543289178982
"object5"	85.4490394704044	0	27.873023506254	74.7304287971929	18.4573614038527	91.6650139028206	82.6793989865109	0	15.6045662704855	67.1345338458195	0	64.3471702700481	48.807785869576	34.7352444427088	68.0843695066869	0	73.6415770370513	20.3694827156141	18.8169498229399	0	0	64.4532977836207	0	0	0	34.7863043658435	0	25.5164894275367	0	11.1584688303992	52.6615408947691	0	52.7395674027503	0	50.6402978207916	53.7673162762076	92.7614249056205	6.4685171470046	95.1143938815221	43.3937042951584	99.497602484189	90.102807758376	18.5106697492301	79.7950801439583	96.9096147688106	79.1071865940467	29.9335858551785	93.0331404786557	0	65.6576297944412
"object6"	0	36.3709302153438	45.9717252990231	87.9952498711646	0	0	17.6044387742877	60.3593575302511	32.043256633915	72.3163835238665	62.2715942561626	17.8007184527814	0	67.2668593237177	51.1746721342206	0	0	88.371100788936	52.1710875676945	63.282436109148	30.6067527271807	7.45893544517457	0	0	0	96.5076507534832	11.4087236579508	91.0991548327729	89.5192232448608	18.382606212981	97.0896086189896	4.45157915819436	31.3880980946124	88.4667802136391	70.3678473830223	0	0	0	89.776149019599	86.1777922138572	4.17359466664493	43.8745037419721	82.6282911002636	96.7948188772425	0	0	61.7515224497765	79.136058408767	58.7486369535327	0
"object7"	0	12.6519751502201	71.6634909855202	0	0	0	58.1060368567705	89.6216111024842	23.7938148900867	10.3739941259846	7.22837392240763	46.8988138716668	0	31.8849775241688	73.0772787239403	0.796768395230174	18.0804381379858	15.666344948113	0.623838906176388	0	29.9185284646228	16.9025527080521	78.3800557954237	0	0	51.4038500608876	90.8530486049131	0	53.3180289901793	0	45.2567209023982	0	0	0	86.4430363290012	6.14515624474734	0	61.0684101236984	84.9291468504816	46.8582611065358	17.2270745970309	55.353981605731	46.9085725490004	58.7139658164233	0	79.6872406965122	70.5963637679815	74.022215558216	0	34.5115340081975
"object8"	57.1627945872024	0	95.0254237046465	0.615560240112245	45.5309109762311	53.6839074222371	17.9471152834594	6.20284618344158	17.6154756220058	30.7629104703665	60.684146056883	69.1006369423121	20.40571924299	61.4007800118998	61.2716997275129	32.8024747082964	99.4494148530066	98.0977057013661	0	63.5333691257983	94.6381816174835	29.9686846323311	23.0943977599964	10.960826347582	0	5.10447097476572	0	28.8875513710082	0	95.4891051631421	72.9345495114103	62.7794878790155	80.2482817554846	68.4992263559252	22.6955742808059	73.9452480338514	93.2907564332709	0	0	0	33.4405140252784	0	21.979446336627	79.123914334923	0	32.705712527968	0	0	58.6520609213039	0
"object9"	15.605214657262	0	0	32.1534941438586	86.4969512214884	53.0927631538361	11.3759770290926	1.56073826365173	0	3.77004593610764	0	76.1516355909407	74.013972026296	74.8101537348703	0	42.3060713103041	4.03371034190059	96.1798754986376	66.775911161676	69.5336208678782	84.8079991526902	22.3351923748851	93.0894294986501	52.8388160048053	0	59.4116904307157	78.3646802417934	70.840496243909	98.6607214668766	9.6373563632369	79.0304026799276	18.1742829503492	32.0223205257207	7.79536452610046	62.948620156385	4.38042541500181	45.2390375779942	38.3333169855177	84.5313768135384	82.9349995590746	0	72.2330486169085	0	58.5367652121931	34.0719485422596	0	10.3623431175947	73.4572548884898	48.4860093332827	76.3750223908573
"object10"	90.6607528449968	90.2629126794636	0	0	15.5843554064631	34.0409732190892	88.8492980971932	6.28403821028769	96.6267017181963	0	97.8694885503501	73.4052161918953	0	54.5363151701167	98.7233438761905	94.2680945154279	35.6255708960816	26.3982454081997	27.2809769259766	24.746610946022	32.0918982848525	55.2922945236787	0	55.9937914134935	43.0260945344344	57.8365334076807	30.0036307424307	0	20.5742754740641	0	15.5157783301547	0	45.42603015434	91.6867535561323	32.468223432079	16.6697056498379	0	44.9271018151194	67.9921389790252	2.02426263131201	63.7392167001963	0.352271413430572	87.9223622614518	0	0	0	23.0733231408522	12.0516532333568	48.1826116563752	77.1402239101008
