"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"
"control1"	1441	1288	798	601	500	459	403	347	317	306	254	253	182	178	149	145	155	143	118	135	124	114	128	106	123	101	105	90	89	110	107	95	87	87	76	92	83	103	78	89	71	91	65	70	62	66	51	59	71	46	56	51	64	43	39	53	46	42	29	30	25	26	22	18	21	28	20	21	27	33	28	34	22	20	19	16	14	12	17	16	11	10	12	14	17	20	8	12	4	10	10	11	5	4	5	8	4	2	7	4	7	0	2	7	3	4	3	11	6	4	2	4	4	2	2	0	0	0	2	0
"control2"	642	627	407	346	251	200	191	157	162	121	144	131	100	65	91	86	75	69	66	66	66	71	51	60	60	54	47	43	53	53	42	47	35	46	48	38	34	31	35	33	42	38	36	32	33	33	37	41	39	26	23	38	22	27	21	26	30	20	23	15	17	12	12	13	10	12	9	12	11	7	12	17	8	18	6	9	9	5	11	10	5	2	3	6	7	6	5	6	2	5	4	6	2	5	5	5	3	1	2	3	2	4	1	0	3	0	5	2	2	1	1	0	2	3	1	1	0	0	0	0
"control3"	1401	1309	793	631	503	452	404	350	296	291	262	263	173	191	161	142	149	130	135	123	121	122	113	117	96	107	100	93	86	85	80	82	88	93	94	84	101	79	83	83	71	69	58	69	62	51	62	55	73	56	62	59	40	37	44	48	33	32	33	44	26	24	28	26	29	17	23	24	31	21	18	19	18	14	18	19	19	15	19	13	11	14	10	8	7	14	12	8	9	11	6	9	8	6	6	6	6	8	5	5	2	7	2	4	6	2	5	2	2	4	3	4	2	1	1	1	3	3	1	1
"control4"	671	570	358	322	264	211	167	151	140	122	112	108	83	68	80	78	84	79	52	63	57	62	34	41	67	51	56	50	40	40	49	37	38	41	44	44	43	36	49	35	35	34	36	38	30	39	48	36	26	25	22	26	22	22	36	37	26	20	16	14	13	12	14	12	11	11	17	10	8	11	10	11	5	11	5	12	12	7	6	8	9	5	7	5	9	7	3	3	4	1	3	3	2	2	1	3	5	3	3	3	2	3	1	0	3	1	3	3	2	1	2	2	1	0	4	0	0	1	0	1
"control5"	526	450	314	206	208	148	143	143	84	99	86	99	74	55	65	54	63	49	43	39	58	46	36	45	47	41	40	37	37	29	34	42	28	26	34	24	25	23	30	32	29	20	28	22	26	25	17	21	16	13	23	16	17	22	15	22	14	14	14	11	17	10	14	8	9	9	11	8	8	6	8	6	5	13	7	4	4	4	5	6	4	1	2	4	2	5	2	5	3	2	2	2	3	3	1	1	2	1	3	1	0	1	3	3	3	1	1	3	2	3	1	1	1	0	1	0	1	0	1	0
"control6"	1339	1329	782	633	506	454	376	347	300	256	234	238	174	168	170	163	150	133	146	132	133	114	116	122	140	110	95	109	104	82	78	93	93	100	94	82	92	73	75	76	71	83	81	85	78	73	61	72	70	48	46	63	58	50	46	46	44	45	39	37	31	29	32	22	26	19	17	19	23	18	24	21	23	11	7	13	7	22	22	8	9	16	13	16	12	12	7	6	8	9	9	6	3	6	2	8	8	2	3	4	6	5	2	0	7	2	2	3	1	2	2	3	0	1	0	2	0	2	1	0
"control7"	566	534	338	260	236	169	144	152	132	123	95	98	66	77	67	62	49	63	50	46	60	51	39	44	51	63	36	36	59	50	38	49	35	32	46	52	23	37	37	34	31	30	23	32	36	36	29	25	28	22	24	30	15	17	25	20	17	16	14	17	19	9	16	13	10	12	10	8	10	6	8	13	10	4	8	11	11	5	2	5	9	7	5	7	8	7	8	3	3	3	5	4	1	2	1	3	2	2	1	5	4	4	3	0	2	1	2	4	0	4	1	3	0	2	1	1	0	0	1	0
"control8"	877	751	440	388	289	252	214	182	180	166	166	155	102	107	104	90	88	90	83	77	90	72	67	72	68	75	65	54	70	56	54	77	47	57	60	53	56	55	36	40	53	46	40	34	38	49	49	42	41	35	30	26	41	33	23	29	26	22	26	30	16	18	12	14	20	20	15	13	11	9	10	7	6	11	8	10	12	8	8	12	6	9	8	8	5	10	5	5	4	5	6	6	3	6	4	7	4	0	6	2	1	4	3	3	3	3	2	3	4	3	4	2	0	3	1	0	0	0	0	0
"probiotic1"	1	1	227	27	10	391	202	177	171	150	116	132	74	89	100	82	71	73	78	71	71	68	62	70	57	50	61	52	50	53	46	44	44	42	49	54	52	50	50	37	31	31	37	46	24	40	351	34	44	35	35	25	19	25	17	32	36	18	15	16	16	13	16	12	13	12	11	17	10	12	10	8	17	7	8	8	282	7	9	6	7	6	1	3	7	6	7	7	7	4	5	5	3	3	4	1	3	699	2	3	2	1	3	2	1	696	4	2	1	1	0	1	0	0	0	1	0	0	0	1
"probiotic2"	6	6	418	71	15	794	416	272	296	248	233	251	168	169	165	151	140	119	118	118	133	114	97	98	111	97	101	97	107	84	86	83	77	82	80	79	67	80	70	74	65	83	70	61	62	73	625	40	60	46	55	50	56	58	43	44	40	31	31	29	30	25	20	25	23	28	24	26	29	16	25	19	26	14	14	26	514	21	15	14	16	11	7	9	10	14	15	9	11	9	9	12	4	3	8	3	5	1304	3	5	4	5	4	1	3	1200	2	4	2	3	2	2	3	1	1	0	0	0	0	0
