"Ca"	"K"	"Cl"	"pH"	"NO3"	"PO4"	"C"	"NH4"
"region1_site1"	4.78770280286307	26.1744542438795	9.21249361188705	5.05640243343078	0.018445661899537	0.000387569835016861	0.671442085166302	0.855006502568722
"region1_site1"	4.50420193939222	26.8551770070281	10.3610691724808	6.29594774381258	0.052334702888864	0.000657770125447256	0.708928432194434	1.91056247430388
"region1_site1"	3.41577159293013	16.9967160276596	10.1305078227998	7.07792126084678	0.0359846112576641	0.00117343627428356	0.80443471790481	0.951671498827636
"region1_site1"	4.71795384234491	13.3186209232455	11.2261637515457	6.90320107107982	0.0758423553494122	0.00153893016621906	0.963001246711629	1.86368990261108
"region1_site2"	3.41751192339852	18.8094319242562	13.8896322357021	5.18488665320911	0.0374744920678484	0.00188187002142051	1.20914003142583	1.91953375691082
"region1_site2"	14.5459118240384	30.6370988677819	10.4778767974287	7.91186353517696	0.0235631084118128	0.000104746474521454	1.16208617076044	0.546587858279236
"region1_site2"	5.69513278124848	28.5635337983622	19.9849219632383	5.10639215214178	0.0292870082497762	0.000267697673758331	1.2425288898865	0.694877537153661
"region1_site2"	2.43411957031251	37.2612936336216	10.1903519711236	5.11276534828357	0.0438626470024856	0.000925141695131718	0.211485576228229	0.576209947350435
"region2_site3"	2.03213283641755	13.4063478284661	8.0639868806895	7.14414831646718	1.03607277528848	0.0421377846156223	0.561541077340623	0.189636093354784
"region2_site3"	3.04551209772693	11.0646239536298	11.9013061219606	6.39311285316944	1.630464258997	0.0252153678182263	0.858389702708661	0.629240829125047
"region2_site3"	4.44153826643847	26.3476609400078	5.49704636756297	7.70112717640586	0.161525304564975	0.00986862495675231	0.23868371706534	1.94750218486879
"region2_site3"	12.8539105163778	6.43579202581036	11.2981803193254	6.55931338877417	0.369491603441996	0.0423260691562889	0.196171868697662	0.399982457514852
"region2_site4"	2.88194718113369	41.4612250091829	15.9282222643048	6.3440944342874	1.22690576772603	0.0894443995675531	0.567246140187594	0.763323373440653
"region2_site4"	6.06210465870368	34.8689506239299	4.45366282934821	7.08500361419283	0.0336549798848573	0.125311198933824	1.00434457989176	0.860722373821773
"region2_site4"	1.50025371748975	46.4213197656823	27.5270552354892	5.33827785821632	0.646264540411892	0.00771648902637291	1.15068831062102	0.762554193614051
"region2_site4"	5.02017204557724	23.6246883867848	3.78067622909035	5.29851632658392	1.37910907376812	0.0181694713002235	0.496244690984557	0.663803479145281
"region3_site5"	10.8550960594949	90.0746566200394	13.6467545500278	6.39868638641201	0.0260324188999811	0.000486887914101295	2.85769227570009	1.15445598722436
"region3_site5"	7.9760796279265	133.443994731534	15.1139787103071	6.9456650596112	0.0301563261122889	0.000966955899914896	0.303331617489277	1.08082880750299
"region3_site5"	11.7690240679157	59.9806799248527	7.6165226974237	5.36376727744937	0.00174316102212761	0.000792968125596631	0.426451185279851	1.64592987620272
"region3_site5"	19.2432639104024	79.987275825117	9.89346281451839	7.12804753961973	0.0128086740159877	0.000923476491052108	0.411070517152033	1.14296603880357
"region3_site6"	22.0293535914254	55.9279565939164	9.02640255735507	7.2781140494626	0.0367182236739854	0.000350690086919772	1.5302478496107	0.348181993258186
"region3_site6"	26.7778827060383	30.6071887805927	8.60302275397075	5.983604619978	0.0108257904094555	0.00135988227324813	0.0833680773703267	1.71448659326416
"region3_site6"	16.8564180343483	63.3220295243377	8.51025315394128	7.41454565734603	0.0231820120093781	0.000194479813557156	1.49693665469511	1.66829103897326
"region3_site6"	10.6234688995135	26.2623509199035	12.5868834437429	7.33036505547352	0.124898264204371	0.00124344257311409	0.672978184344934	0.744517972064204
"region4_site7"	18.7619590917511	132.089230646242	10.8221475623414	6.43497662828304	1.10873055609396	0.0393866961937461	0.219525682469152	0.131475568446331
"region4_site7"	16.6770195266433	62.1003692965685	14.0817164107311	6.11465551890433	0.797568130020548	0.113390860381952	0.499344714120852	1.61820912607946
"region4_site7"	16.9405321088398	52.1216314062379	10.364843350852	7.75972021464258	0.137075684179825	0.192121202884643	1.07819009277881	1.79647235998418
"region4_site7"	18.9668766450078	52.7856890203153	17.1355243634098	6.46748203784227	0.856990378644904	0.185911978141428	0.180909148176683	1.91390370924491
"region4_site8"	6.82523701432017	111.695850850672	5.13732365329848	6.44586533517577	0.233631673227384	0.171712004883985	1.56021461730796	0.445861545926891
"region4_site8"	3.83645274566927	8.03681612811565	14.2506318195724	6.41592497937381	0.930533012884739	0.0461097585585605	0.290585981051053	1.15709344707429
"region4_site8"	8.59367225550309	72.9988790764657	6.03516032835635	5.32909480715171	0.0909066130877786	0.0181664584791226	0.160323711341988	1.08620033375919
"region4_site8"	10.4367374893879	62.1736231834489	9.22495107734196	7.25624999892898	0.275835090246152	0.315541211919414	0.377356550006181	0.844755559996702
